ASSET_TYPE                                                NAME                                                                                                                                                                                                                            LOCATION
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/us-central1/subnetworks/default                                                                                                                                       us-central1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-west1/subnetworks/default                                                                                                                                      europe-west1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-east1/subnetworks/default                                                                                                                                        asia-east1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/us-west1/subnetworks/default                                                                                                                                          us-west1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-southeast2/subnetworks/default                                                                                                                                   asia-southeast2
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/us-west3/subnetworks/default                                                                                                                                          us-west3
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/australia-southeast2/subnetworks/default                                                                                                                              australia-southeast2
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-southeast1/subnetworks/default                                                                                                                                   asia-southeast1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-north1/subnetworks/default                                                                                                                                     europe-north1
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-c138a25e5557b069                                                                                                                                  global
compute.googleapis.com/Network                            //compute.googleapis.com/projects/heidless-apps-2/global/networks/default                                                                                                                                                       global
compute.googleapis.com/Project                            //compute.googleapis.com/projects/heidless-apps-2                                                                                                                                                                               global
storage.googleapis.com/Bucket                             //storage.googleapis.com/heidless-apps-2-backups                                                                                                                                                                                us-central1
apikeys.googleapis.com/Key                                //apikeys.googleapis.com/projects/789026577646/locations/global/keys/3b00a25f-265d-4954-944b-7b6e442fd46f
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/1f4afc4a-88ca-4281-86ba-2a533f9c7509                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/fed2531d-6442-49f3-93c3-28df375de29e                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/ff79a9bc-51d4-441b-8dac-abd6c9d7f7f4                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/68a23269-741f-4d6e-a926-2742b7b07f78                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/26aeaa5f-01f3-4679-a732-92cc0a4a5179                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/aec4c06f-c0a3-4b87-912f-055c3c4a4ddb                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/a30e169f-3b6a-409e-a1b1-a16a2e0f58bf                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/40343eb2-6732-4163-949b-380324798126                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/3bb1ba1a-48f8-4289-aac6-8ec8ecd022a8                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/48df6610-c8b0-4df0-8fb7-c50250c77188                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/79b82409-c91c-4dde-8fbb-645a94b1da7d                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/3e5106cd-9372-442e-8ee9-263b3c01acce                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/16462d94-0516-4282-ae38-804d4ee31bc0                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/4a95ae84-9ec9-4f26-9c97-18a9a8263e26                                                                                                                           global
